time,open,high,low,close,tick_volume,spread,real_volume,date
933552000,1.61,1.6182,1.6018,1.6078,307.0,160,0.0,1999-08-02
933638400,1.6052,1.611,1.5917,1.5936,271.0,160,0.0,1999-08-03
933724800,1.5937,1.612,1.5918,1.6051,291.0,160,0.0,1999-08-04
933811200,1.6055,1.6179,1.6024,1.6087,279.0,160,0.0,1999-08-05
933897600,1.6095000000000002,1.6205,1.602,1.6151,315.0,160,0.0,1999-08-06
934156800,1.59,1.6192,1.5809,1.6098,569.0,160,0.0,1999-08-09
934329600,1.6021,1.6042,1.5828,1.5842,250.0,160,0.0,1999-08-11
934416000,1.5822,1.611,1.5763,1.5824,693.0,160,0.0,1999-08-12
934502400,1.5853000000000002,1.611,1.5589,1.56,790.0,160,0.0,1999-08-13
934761600,1.5617,1.5699,1.56,1.5677,139.0,160,0.0,1999-08-16
934848000,1.5689,1.5708,1.5497,1.5529,263.0,160,0.0,1999-08-17
934934400,1.5509,1.5685,1.5509,1.5601,261.0,160,0.0,1999-08-18
935020800,1.5604,1.59,1.5566,1.5893000000000002,380.0,160,0.0,1999-08-19
935107200,1.588,1.5997,1.5852,1.5949,222.0,160,0.0,1999-08-20
935366400,1.5955,1.5966,1.5686,1.5706,312.0,160,0.0,1999-08-23
935452800,1.5703,1.5774,1.5578,1.5695,385.0,160,0.0,1999-08-24
935539200,1.5699999999999998,1.5739,1.554,1.5585,284.0,160,0.0,1999-08-25
935625600,1.5584,1.5729,1.5579,1.568,205.0,160,0.0,1999-08-26
935712000,1.5662,1.5702,1.5551,1.5572,213.0,160,0.0,1999-08-27
935971200,1.5579,1.5681,1.5526,1.5681,209.0,160,0.0,1999-08-30
936057600,1.5671,1.5856,1.5647,1.5745,345.0,160,0.0,1999-08-31
936144000,1.5751,1.5938,1.5703,1.5727,447.0,160,0.0,1999-09-01
936230400,1.5727,1.6031,1.5707,1.5974,402.0,160,0.0,1999-09-02
936316800,1.5972,1.6045,1.5769,1.5808,389.0,160,0.0,1999-09-03
936662400,1.5735,1.5817,1.5665,1.5762,278.0,160,0.0,1999-09-07
936748800,1.5757,1.5915,1.5722,1.5752000000000002,382.0,160,0.0,1999-09-08
936835200,1.5751,1.5812,1.5561,1.5561,313.0,160,0.0,1999-09-09
936921600,1.5561,1.5604,1.526,1.5283,411.0,160,0.0,1999-09-10
937180800,1.5275,1.5325,1.5181,1.5291,273.0,160,0.0,1999-09-13
937267200,1.5291,1.538,1.5182,1.5255,361.0,160,0.0,1999-09-14
937353600,1.5255,1.5375,1.5131,1.5349,395.0,160,0.0,1999-09-15
937440000,1.535,1.5608,1.5299,1.5308000000000002,577.0,160,0.0,1999-09-16
937526400,1.5311,1.5342,1.5257,1.5327,155.0,160,0.0,1999-09-17
937785600,1.5302,1.5392,1.53,1.531,177.0,160,0.0,1999-09-20
937872000,1.5309,1.549,1.5274,1.5483,259.0,160,0.0,1999-09-21
937958400,1.5483,1.5518,1.5287,1.5349,329.0,160,0.0,1999-09-22
938044800,1.5344,1.5475,1.5293,1.5465,244.0,160,0.0,1999-09-23
938390400,1.5354,1.5403,1.5262,1.5351,280.0,160,0.0,1999-09-27
938476800,1.5349,1.5439,1.5319,1.537,220.0,160,0.0,1999-09-28
938563200,1.5372,1.5603,1.5369000000000002,1.5588,253.0,160,0.0,1999-09-29
938649600,1.5581,1.5701,1.5561,1.5657,205.0,160,0.0,1999-09-30
938736000,1.5659999999999998,1.5867,1.5608,1.5838,341.0,160,0.0,1999-10-01
938995200,1.5796,1.5873,1.571,1.5757,288.0,160,0.0,1999-10-04
939081600,1.5755,1.5827,1.5636,1.5787,351.0,160,0.0,1999-10-05
