time,open,high,low,close,tick_volume,spread,real_volume,date
1187568000,0.7324,0.7413,0.7317,0.7383,2084.0,0,0.0,2007-08-20
1187654400,0.7384,0.7433,0.7308,0.7378,9312.0,0,0.0,2007-08-21
1187740800,0.7379,0.751,0.7345,0.7502,5328.0,0,0.0,2007-08-22
1187827200,0.7501,0.757,0.7474,0.7498,5601.0,0,0.0,2007-08-23
1187913600,0.7499,0.7593,0.7479,0.7589,4767.0,0,0.0,2007-08-24
1188172800,0.7632,0.7646,0.7525,0.7537,4215.0,0,0.0,2007-08-27
1188259200,0.7413,0.742,0.739,0.7411,208.0,0,0.0,2007-08-28
1188345600,0.7412,0.7528,0.733,0.7475,5846.0,0,0.0,2007-08-29
1188432000,0.7466,0.7497,0.741,0.7436,5257.0,0,0.0,2007-08-30
1188518400,0.7434,0.7486,0.7371,0.7408,5001.0,0,0.0,2007-08-31
1188777600,0.7415,0.7436,0.7377,0.7397,3768.0,0,0.0,2007-09-03
1188864000,0.7395,0.7422,0.7277,0.7309,4924.0,0,0.0,2007-09-04
1188950400,0.7304,0.7331,0.7217,0.7247,5442.0,0,0.0,2007-09-05
1189036800,0.7246,0.7319,0.7204,0.7285,4838.0,0,0.0,2007-09-06
1189123200,0.7286,0.7308,0.7237,0.7293,4083.0,0,0.0,2007-09-07
1189382400,0.7244,0.7352,0.7213,0.7308,9150.0,0,0.0,2007-09-10
1189468800,0.7309,0.7372,0.7255,0.7367,5440.0,0,0.0,2007-09-11
1189555200,0.7358,0.7422,0.7338,0.7362,5509.0,0,0.0,2007-09-12
1189641600,0.7363,0.7426,0.7322,0.7333,9303.0,0,0.0,2007-09-13
1189728000,0.7332,0.7394,0.732,0.7345,6368.0,0,0.0,2007-09-14
1189987200,0.7339,0.7356,0.7229,0.7256,7590.0,0,0.0,2007-09-17
1190073600,0.7255,0.7379,0.7201,0.7338,10074.0,0,0.0,2007-09-18
1190160000,0.7336,0.7477,0.7324,0.7457,11510.0,0,0.0,2007-09-19
1190246400,0.7455,0.7484,0.7356,0.7414,10218.0,0,0.0,2007-09-20
1190332800,0.7415,0.747,0.7375,0.7441,9340.0,0,0.0,2007-09-21
1190592000,0.7431,0.75,0.7408,0.7467,6317.0,0,0.0,2007-09-24
1190678400,0.7466,0.7479,0.7334,0.7473,10279.0,0,0.0,2007-09-25
1190764800,0.7472,0.7498,0.744,0.7468,8422.0,0,0.0,2007-09-26
1190851200,0.7469,0.7549,0.7469,0.7541,8713.0,0,0.0,2007-09-27
1190937600,0.7542,0.7582,0.7493,0.7514,9457.0,0,0.0,2007-09-28
1191196800,0.7532,0.7616,0.753,0.7596,8268.0,0,0.0,2007-10-01
1191283200,0.7597,0.7605,0.7522,0.7558,10218.0,0,0.0,2007-10-02
1191369600,0.7557,0.76,0.7499,0.7513,9496.0,0,0.0,2007-10-03
1191456000,0.7514,0.7549,0.7485,0.7528,8868.0,0,0.0,2007-10-04
1191542400,0.7527,0.7548,0.7432,0.7455,8710.0,0,0.0,2007-10-05
1191801600,0.749,0.7535,0.7485,0.752,4044.0,0,0.0,2007-10-08
1191888000,0.7519,0.7539,0.7474,0.7502,8064.0,0,0.0,2007-10-09
1191974400,0.7501,0.751,0.7454,0.7477,6781.0,0,0.0,2007-10-10
1192060800,0.7478,0.7542,0.7474,0.7528,9301.0,0,0.0,2007-10-11
1192147200,0.7526,0.7558,0.7502,0.7544,8969.0,0,0.0,2007-10-12
1192406400,0.751,0.7529,0.7414,0.7443,9082.0,0,0.0,2007-10-15
1192492800,0.7442,0.7466,0.7233,0.7313,14217.0,0,0.0,2007-10-16
1192579200,0.7312,0.7353,0.7259,0.7308,13624.0,0,0.0,2007-10-17
1192665600,0.731,0.7356,0.7273,0.7337,10484.0,0,0.0,2007-10-18
